,screen_name,followers,following,verified,tweet_count,default_prof_img,user_mentions,linked_urls,has_#,time_to_respond_minutes,account_age_days,follwers_to_following_ratio,avg_tweets_per_day,clean_text,is_bot?
0,itsjohnnytrades,462,73,FALSE,545,FALSE,1,0,no,100,1152,6.33,0.47, big crypto accounts starting to look for bear  hmmm wonder where that goes  ,0
1,aicryptotrade1,171,87,FALSE,848,FALSE,1,0,no,76,50,1.97,16.96, first 28 2k then 29k then 32k this is the roadmap for btc ,0
2,___reivax___,131,296,FALSE,862,FALSE,1,0,no,60,2448,0.44,0.35, this looks like a beautiful bob ross painting,0
3,Horstvault,2782,63,FALSE,3748,FALSE,1,0,no,53,816,44.16,4.59, his do you get a chart that shows you the read and green areas ,0
4,keshvism,142,1855,FALSE,874,FALSE,1,0,no,49,1324,0.08,0.66, forget price action for 2 mins  this chart in itself is pretty aesthetic   ,0
5,trendoshi,2546,2912,FALSE,1896,FALSE,1,0,no,46,537,0.87,3.53, nature is healing  ,0
6,DasDreamz,30,469,FALSE,2043,FALSE,1,0,no,27,794,0.06,2.57, but what about when there was a correction to 20 k last month  that was not a significant change ,0
7,CryptowzCharles,53,66,FALSE,533,FALSE,1,0,no,20,300,0.8,1.78, thanks man,0
8,PieschFlo,42,119,FALSE,627,FALSE,1,0,no,19,2314,0.35,0.27, what indicators are these mate ,0
9,ColdBloodShill,215549,565,FALSE,25042,FALSE,0,0,no,18,1828,381.5,13.7,lots of comments about  still an uptrend     sure  so get above 28 7k again and i ll get back involved on the long side    pretty easy when there s a key level in here ,0
10,MantisTradingX,1005,860,FALSE,1394,FALSE,2,0,no,16,5014,1.17,0.28,N/A,0
11,oswaldspangled,68,781,FALSE,3462,FALSE,1,0,no,11,830,0.09,4.17, got more down to go   probably at least 25k area  maybe down to 24 23 ,0
12,AlemzadehC,17728,959,FALSE,5866,FALSE,1,0,no,11,1259,18.49,4.66, market structure would change with a weekly close below the 20w ema ich cloud  we are still above 9 and uptrending my friend,0
13,theHaeck,164,1560,FALSE,2822,FALSE,1,0,no,7,4669,0.11,0.6, i m old enough to remember when there was no need to look at any chart lower tf than the weekly  and cbs charts didn t look like they were generated with a trs 80,0
14,Aftertilt,208,993,FALSE,2518,FALSE,1,0,no,7,1811,0.21,1.39, i was wondering when you gonna pull out some renko,0
15,ApexPook,666,987,FALSE,1991,FALSE,1,0,no,5,936,0.67,2.13, what name of bands again  i m sure you ve answered 100 times  they pretty,0
16,KeithGConklin68,28,119,FALSE,1776,FALSE,1,0,no,3,534,0.24,3.33,  200 bounce and this dude getting excited    ,0
